------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Work ctr|Type|Group   |GrC|Material    |OpAc|Valid From|Valid to  |Change No.  |Prod.resources/tools  |Descr. of the production resource/tool  |   Quantity|Un.|Item|Cat|Grp1|Grp2|
|04815   |N   |50375584|1  |ET17503     |0400|11/03/2014|12/31/9999|AI3735MXPROD|IMD15537              |. ULTRASONIC MICRO.                     |     1.000 |PC |3000|M  |    |    |
|04815   |N   |50375584|1  |ET17503     |0400|11/03/2014|12/31/9999|AI3735MXPROD|MX01003119 ZMD 000 00 |MDS\ET17503\0400                        |     1.000 |EA | 500|D  |    |    |
|04815   |N   |50375584|1  |ET17503     |0400|11/03/2014|12/31/9999|AI3735MXPROD|MXGT-3001358          |PLUG GAGE DE                            |     1.000 |PC | 300|E  |    |    |
|04815   |N   |50375584|1  |ET17503     |0400|11/03/2014|12/31/9999|AI3735MXPROD|MX01016348 ZOS 000 00 |OMS-ET17503                             |     1.000 |PC | 510|D  |    |    |
|08635   |N   |50375584|1  |ET17503     |0500|11/03/2014|12/31/9999|AI3735MXPROD|IMD15126              |CNTR, HOPPER                            | 1,200.000 |PC |   1|M  |    |    |
|08635   |N   |50375584|1  |ET17503     |0500|11/03/2014|12/31/9999|AI3735MXPROD|IMD15509              |DIAL INDICATOR CK FLAT W/SPC            |     1.000 |PC |3000|M  |    |    |
|08635   |N   |50375584|1  |ET17503     |0500|11/03/2014|12/31/9999|AI3735MXPROD|MX01003120 ZMD 000 00 |MDS\ET17503\0500                        |     1.000 |EA | 500|D  |    |    |
|08635   |N   |50375584|1  |ET17503     |0500|11/03/2014|12/31/9999|AI3735MXPROD|MX01016348 ZOS 000 00 |OMS-ET17503                             |     1.000 |PC | 510|D  |    |    |
|09113   |N   |50375587|1  |ET17517     |0400|11/03/2014|12/31/9999|AI3735MXPROD|MX01T-5004318         |. GRAY SPRAY BOTTLE **GRAY TOP BOTTLE   |     1.000 |PC |  99|E  |    |    |
|09113   |N   |50375587|1  |ET17517     |0400|11/03/2014|12/31/9999|AI3735MXPROD|IMD16929              |LUBT DILUTED DRAW LUBE 5:1POLYAQUA      |     1.000 |PC |  99|M  |    |    |
